강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20031201~20221231

날짜,지점,강수량(mm)
2004-06-15,108,
2004-06-16,108,
2004-06-17,108,21
2004-06-18,108,1.5
2004-06-19,108,84
2004-06-20,108,11
2004-06-21,108,
2004-06-22,108,20
2004-06-23,108,0.5
2004-06-24,108,
2004-06-25,108,
2004-06-26,108,0.1
2004-06-27,108,
2004-06-28,108,
2004-06-29,108,
2004-06-30,108,
2004-07-01,108,4.5
2004-07-02,108,10.5
2004-07-03,108,10.5
2004-07-04,108,62
2004-07-05,108,14
2004-07-06,108,58
2004-07-07,108,31.5
2004-07-08,108,5
2004-07-09,108,
2004-07-10,108,
2004-07-11,108,12
2004-07-12,108,70
2004-07-13,108,30.5
2004-07-14,108,3.5
2004-07-15,108,37
2004-07-16,108,108.5
2004-07-17,108,37.5
2004-07-18,108,0.1
2004-07-19,108,0
2004-07-20,108,1
2004-07-21,108,
2004-07-22,108,
2004-07-23,108,
2004-07-24,108,
2004-07-25,108,14.5
2004-07-26,108,0.1
2004-07-27,108,
2004-07-28,108,
2004-07-29,108,
2004-07-30,108,
2004-07-31,108,
2004-08-01,108,
2004-08-02,108,
2004-08-03,108,
2004-08-04,108,39.5
2004-08-05,108,0.5
2004-08-06,108,
2004-08-07,108,
2004-08-08,108,0.2
2004-08-09,108,0
2004-08-10,108,
2004-08-11,108,
2004-08-12,108,
2004-08-13,108,
2004-08-14,108,3
2004-08-15,108,
2004-08-16,108,33.5
2004-08-17,108,33
2004-08-18,108,43.5
2004-08-19,108,39
2004-08-20,108,
2004-08-21,108,
2004-08-22,108,0.1
2004-08-23,108,
2004-08-24,108,
2004-08-25,108,0
2004-08-26,108,1
2004-08-27,108,
2004-08-28,108,
2004-08-29,108,
2004-08-30,108,
2004-08-31,108,
2004-09-01,108,
2004-09-02,108,
2004-09-03,108,
2004-09-04,108,0.2
2004-09-05,108,3.5
2004-09-06,108,4
2004-09-07,108,30.5
2004-09-08,108,0
2004-09-09,108,
2004-09-10,108,
2004-09-11,108,56.5
2004-09-12,108,25.5
2004-09-13,108,1.5
2004-09-14,108,0
2004-09-15,108,3
2004-09-16,108,42
2004-09-17,108,
2004-09-18,108,6.5
2004-09-19,108,
2004-09-20,108,16.5
2004-09-21,108,9
2004-09-22,108,
2004-09-23,108,
2004-09-24,108,
2004-09-25,108,
2004-09-26,108,
2004-09-27,108,
2004-09-28,108,
2004-09-29,108,
2004-09-30,108,
2004-10-01,108,1
2004-10-02,108,
2004-10-03,108,
2004-10-04,108,
2004-10-05,108,
2004-10-06,108,
2004-10-07,108,
2004-10-08,108,
2004-10-09,108,
2004-10-10,108,
2004-10-11,108,
2004-10-12,108,5.5
2004-10-13,108,0
2004-10-14,108,
2004-10-15,108,
2004-10-16,108,
2004-10-17,108,
2004-10-18,108,
2004-10-19,108,
2004-10-20,108,
2004-10-21,108,
2004-10-22,108,
2004-10-23,108,
2004-10-24,108,
2004-10-25,108,
2004-10-26,108,
2004-10-27,108,
2004-10-28,108,
2004-10-29,108,
2004-10-30,108,
2004-10-31,108,
2004-11-01,108,18
2004-11-02,108,3
2004-11-03,108,0.5
2004-11-04,108,
2004-11-05,108,14
2004-11-06,108,
2004-11-07,108,
2004-11-08,108,
2004-11-09,108,
2004-11-10,108,12.5
2004-11-11,108,2.5
2004-11-12,108,
2004-11-13,108,
2004-11-14,108,
2004-11-15,108,0.4
2004-11-16,108,0
2004-11-17,108,
2004-11-18,108,1
2004-11-19,108,
2004-11-20,108,
2004-11-21,108,
2004-11-22,108,
2004-11-23,108,
2004-11-24,108,
2004-11-25,108,0.1
2004-11-26,108,28
2004-11-27,108,
2004-11-28,108,
2004-11-29,108,
2004-11-30,108,
2004-12-01,108,
2004-12-02,108,
2004-12-03,108,
2004-12-04,108,15
2004-12-05,108,
2004-12-06,108,8
2004-12-07,108,
2004-12-08,108,0
2004-12-09,108,
2004-12-10,108,0
2004-12-11,108,
2004-12-12,108,
2004-12-13,108,
2004-12-14,108,
2004-12-15,108,4
2004-12-16,108,
2004-12-17,108,0
2004-12-18,108,
2004-12-19,108,0.2
2004-12-20,108,
2004-12-21,108,
2004-12-22,108,
2004-12-23,108,
2004-12-24,108,
2004-12-25,108,
2004-12-26,108,
2004-12-27,108,
2004-12-28,108,
2004-12-29,108,
2004-12-30,108,
2004-12-31,108,
2005-01-01,108,
2005-01-02,108,0
2005-01-03,108,1.5
2005-01-04,108,
2005-01-05,108,
2005-01-06,108,0
2005-01-07,108,0
2005-01-08,108,0
2005-01-09,108,
2005-01-10,108,0
2005-01-11,108,
2005-01-12,108,
2005-01-13,108,
2005-01-14,108,
2005-01-15,108,
2005-01-16,108,0.3
2005-01-17,108,
2005-01-18,108,0.5
2005-01-19,108,
2005-01-20,108,
2005-01-21,108,
2005-01-22,108,
2005-01-23,108,
2005-01-24,108,
2005-01-25,108,
2005-01-26,108,
2005-01-27,108,
2005-01-28,108,
2005-01-29,108,2.2
2005-01-30,108,
2005-01-31,108,0
2005-02-01,108,
2005-02-02,108,
2005-02-03,108,
2005-02-04,108,
2005-02-05,108,
2005-02-06,108,
2005-02-07,108,0
2005-02-08,108,0
2005-02-09,108,
2005-02-10,108,
2005-02-11,108,
2005-02-12,108,
2005-02-13,108,
2005-02-14,108,
2005-02-15,108,5
2005-02-16,108,9
2005-02-17,108,
2005-02-18,108,
2005-02-19,108,0.2
2005-02-20,108,
2005-02-21,108,0
2005-02-22,108,3
2005-02-23,108,
2005-02-24,108,
2005-02-25,108,
2005-02-26,108,
2005-02-27,108,
2005-02-28,108,
2005-03-01,108,
2005-03-02,108,2.4
2005-03-03,108,
2005-03-04,108,
2005-03-05,108,
2005-03-06,108,
2005-03-07,108,
2005-03-08,108,
2005-03-09,108,0
2005-03-10,108,0.5
2005-03-11,108,0.5
2005-03-12,108,
2005-03-13,108,
2005-03-14,108,
2005-03-15,108,
2005-03-16,108,
2005-03-17,108,7
2005-03-18,108,
2005-03-19,108,
2005-03-20,108,
2005-03-21,108,
2005-03-22,108,2
2005-03-23,108,
2005-03-24,108,0.1
2005-03-25,108,
2005-03-26,108,
2005-03-27,108,
2005-03-28,108,
2005-03-29,108,
2005-03-30,108,
2005-03-31,108,
2005-04-01,108,
2005-04-02,108,
2005-04-03,108,3.5
2005-04-04,108,
2005-04-05,108,
2005-04-06,108,7
2005-04-07,108,
2005-04-08,108,
2005-04-09,108,41.5
2005-04-10,108,17
2005-04-11,108,
2005-04-12,108,
2005-04-13,108,
2005-04-14,108,
2005-04-15,108,
2005-04-16,108,
2005-04-17,108,
2005-04-18,108,4.5
2005-04-19,108,15
2005-04-20,108,6
2005-04-21,108,
2005-04-22,108,
2005-04-23,108,
2005-04-24,108,0
2005-04-25,108,
2005-04-26,108,
2005-04-27,108,0.2
2005-04-28,108,
2005-04-29,108,
2005-04-30,108,
2005-05-01,108,0.3
2005-05-02,108,
2005-05-03,108,
2005-05-04,108,
2005-05-05,108,16.5
2005-05-06,108,13.5
2005-05-07,108,
2005-05-08,108,
2005-05-09,108,
2005-05-10,108,
2005-05-11,108,1.5
2005-05-12,108,1
2005-05-13,108,
2005-05-14,108,
2005-05-15,108,
2005-05-16,108,
2005-05-17,108,26.5
2005-05-18,108,25
2005-05-19,108,
2005-05-20,108,
2005-05-21,108,
2005-05-22,108,1.5
2005-05-23,108,
2005-05-24,108,
2005-05-25,108,
2005-05-26,108,
2005-05-27,108,
2005-05-28,108,
2005-05-29,108,
2005-05-30,108,
2005-05-31,108,
2005-06-01,108,2.5
2005-06-02,108,0.5
2005-06-03,108,
2005-06-04,108,0
2005-06-05,108,
2005-06-06,108,
2005-06-07,108,
2005-06-08,108,
2005-06-09,108,
2005-06-10,108,13.5
2005-06-11,108,
2005-06-12,108,0
2005-06-13,108,
2005-06-14,108,3
2005-06-15,108,0.5
2005-06-16,108,0
2005-06-17,108,1.5
2005-06-18,108,
2005-06-19,108,0
2005-06-20,108,
2005-06-21,108,
2005-06-22,108,
2005-06-23,108,
2005-06-24,108,
2005-06-25,108,
2005-06-26,108,95.5
2005-06-27,108,37
2005-06-28,108,
2005-06-29,108,13.5
2005-06-30,108,1
2005-07-01,108,55
2005-07-02,108,1
2005-07-03,108,17.5
2005-07-04,108,
2005-07-05,108,0
2005-07-06,108,
2005-07-07,108,8.5
2005-07-08,108,11
2005-07-09,108,40
2005-07-10,108,
2005-07-11,108,15.5
2005-07-12,108,
2005-07-13,108,1.5
2005-07-14,108,0
2005-07-15,108,
2005-07-16,108,
2005-07-17,108,0.2
2005-07-18,108,
2005-07-19,108,
2005-07-20,108,
2005-07-21,108,
2005-07-22,108,
2005-07-23,108,
2005-07-24,108,3
2005-07-25,108,0
2005-07-26,108,
2005-07-27,108,0.2
2005-07-28,108,115
2005-07-29,108,
2005-07-30,108,
2005-07-31,108,1
2005-08-01,108,26.5
2005-08-02,108,0.5
2005-08-03,108,19
2005-08-04,108,
2005-08-05,108,
2005-08-06,108,0.5
2005-08-07,108,0
2005-08-08,108,16
2005-08-09,108,15
2005-08-10,108,57.5
2005-08-11,108,25
2005-08-12,108,1
2005-08-13,108,0.5
2005-08-14,108,
2005-08-15,108,0.5
2005-08-16,108,
2005-08-17,108,4.5
2005-08-18,108,8
2005-08-19,108,6.5
2005-08-20,108,0.5
2005-08-21,108,
2005-08-22,108,0
2005-08-23,108,
2005-08-24,108,39.5
2005-08-25,108,38.5
2005-08-26,108,
2005-08-27,108,
2005-08-28,108,25.5
2005-08-29,108,
2005-08-30,108,
2005-08-31,108,
2005-09-01,108,0.1
2005-09-02,108,0.5
2005-09-03,108,
2005-09-04,108,
2005-09-05,108,
2005-09-06,108,
2005-09-07,108,
2005-09-08,108,
2005-09-09,108,2.5
2005-09-10,108,
2005-09-11,108,
2005-09-12,108,0.1
2005-09-13,108,90.5
2005-09-14,108,
2005-09-15,108,
2005-09-16,108,0
2005-09-17,108,74
2005-09-18,108,0.5
2005-09-19,108,0
2005-09-20,108,0.1
2005-09-21,108,40
2005-09-22,108,0.5
2005-09-23,108,
2005-09-24,108,
2005-09-25,108,
2005-09-26,108,
2005-09-27,108,
2005-09-28,108,
2005-09-29,108,0
2005-09-30,108,104.5
2005-10-01,108,14.5
2005-10-02,108,0
2005-10-03,108,0.1
2005-10-04,108,
2005-10-05,108,
2005-10-06,108,
2005-10-07,108,19.5
2005-10-08,108,
2005-10-09,108,
2005-10-10,108,
2005-10-11,108,
2005-10-12,108,
2005-10-13,108,
2005-10-14,108,2
2005-10-15,108,
2005-10-16,108,
2005-10-17,108,
2005-10-18,108,
2005-10-19,108,
2005-10-20,108,
2005-10-21,108,13.5
2005-10-22,108,
2005-10-23,108,
2005-10-24,108,
2005-10-25,108,
2005-10-26,108,
2005-10-27,108,
2005-10-28,108,3
2005-10-29,108,
2005-10-30,108,
2005-10-31,108,
2005-11-01,108,
2005-11-02,108,0
2005-11-03,108,0.5
2005-11-04,108,
2005-11-05,108,0.1
2005-11-06,108,30
2005-11-07,108,1
2005-11-08,108,
2005-11-09,108,
2005-11-10,108,0
2005-11-11,108,
2005-11-12,108,
2005-11-13,108,0
2005-11-14,108,
2005-11-15,108,
2005-11-16,108,
2005-11-17,108,
2005-11-18,108,
2005-11-19,108,
2005-11-20,108,
2005-11-21,108,0.3
2005-11-22,108,
2005-11-23,108,0.2
2005-11-24,108,
2005-11-25,108,
2005-11-26,108,0
2005-11-27,108,3.5
2005-11-28,108,9
2005-11-29,108,0
2005-11-30,108,
2005-12-01,108,0.3
2005-12-02,108,
2005-12-03,108,5
2005-12-04,108,1.8
2005-12-05,108,
2005-12-06,108,
2005-12-07,108,
2005-12-08,108,
2005-12-09,108,
2005-12-10,108,
2005-12-11,108,
2005-12-12,108,
2005-12-13,108,
2005-12-14,108,
2005-12-15,108,
2005-12-16,108,
2005-12-17,108,
2005-12-18,108,0.8
2005-12-19,108,
2005-12-20,108,
2005-12-21,108,1.1
2005-12-22,108,0.4
2005-12-23,108,0.1
2005-12-24,108,
2005-12-25,108,0.5
2005-12-26,108,
2005-12-27,108,
2005-12-28,108,
2005-12-29,108,
2005-12-30,108,0.3
2005-12-31,108,
2006-01-01,108,0
2006-01-02,108,0
2006-01-03,108,
2006-01-04,108,
2006-01-05,108,
2006-01-06,108,
2006-01-07,108,
2006-01-08,108,
2006-01-09,108,0.3
2006-01-10,108,
2006-01-11,108,
2006-01-12,108,6.5
2006-01-13,108,26.5
2006-01-14,108,
2006-01-15,108,
2006-01-16,108,
2006-01-17,108,
2006-01-18,108,
2006-01-19,108,
2006-01-20,108,
2006-01-21,108,
2006-01-22,108,
2006-01-23,108,
2006-01-24,108,
2006-01-25,108,
2006-01-26,108,
2006-01-27,108,
2006-01-28,108,
2006-01-29,108,0
2006-01-30,108,0
2006-01-31,108,1
2006-02-01,108,0
2006-02-02,108,
2006-02-03,108,
2006-02-04,108,
2006-02-05,108,
2006-02-06,108,
2006-02-07,108,8.4
2006-02-08,108,
2006-02-09,108,0.9
2006-02-10,108,
2006-02-11,108,
2006-02-12,108,
2006-02-13,108,0.1
2006-02-14,108,5.5
2006-02-15,108,
2006-02-16,108,
2006-02-17,108,
2006-02-18,108,
2006-02-19,108,
2006-02-20,108,
2006-02-21,108,
2006-02-22,108,0.5
2006-02-23,108,
2006-02-24,108,
2006-02-25,108,
2006-02-26,108,0.2
2006-02-27,108,
2006-02-28,108,0.1
2006-03-01,108,3.8
2006-03-02,108,1
2006-03-03,108,
2006-03-04,108,3
2006-03-05,108,0
2006-03-06,108,
2006-03-07,108,
2006-03-08,108,
2006-03-09,108,0
2006-03-10,108,0
2006-03-11,108,
2006-03-12,108,
2006-03-13,108,0
2006-03-14,108,
2006-03-15,108,
2006-03-16,108,4.5
2006-03-17,108,
2006-03-18,108,
2006-03-19,108,
2006-03-20,108,
2006-03-21,108,
2006-03-22,108,0
2006-03-23,108,
2006-03-24,108,
2006-03-25,108,0
2006-03-26,108,
2006-03-27,108,
2006-03-28,108,0.2
2006-03-29,108,1.5
2006-03-30,108,
2006-03-31,108,
2006-04-01,108,16.5
2006-04-02,108,0.5
2006-04-03,108,
2006-04-04,108,1.5
2006-04-05,108,
2006-04-06,108,
2006-04-07,108,
2006-04-08,108,
2006-04-09,108,0.1
2006-04-10,108,11.5
2006-04-11,108,
2006-04-12,108,
2006-04-13,108,
2006-04-14,108,
2006-04-15,108,
2006-04-16,108,
2006-04-17,108,
2006-04-18,108,0
2006-04-19,108,16
2006-04-20,108,0
2006-04-21,108,
2006-04-22,108,
2006-04-23,108,3.5
2006-04-24,108,
2006-04-25,108,
2006-04-26,108,0
2006-04-27,108,0.2
2006-04-28,108,
2006-04-29,108,
2006-04-30,108,2
2006-05-01,108,
2006-05-02,108,
2006-05-03,108,
2006-05-04,108,0.2
2006-05-05,108,3.5
2006-05-06,108,93
2006-05-07,108,
2006-05-08,108,
2006-05-09,108,
2006-05-10,108,0.3
2006-05-11,108,
2006-05-12,108,0
2006-05-13,108,
2006-05-14,108,
2006-05-15,108,
2006-05-16,108,
2006-05-17,108,
2006-05-18,108,
2006-05-19,108,
2006-05-20,108,
2006-05-21,108,
2006-05-22,108,30.5
2006-05-23,108,
2006-05-24,108,
2006-05-25,108,
2006-05-26,108,
2006-05-27,108,27.5
2006-05-28,108,1
2006-05-29,108,0.2
2006-05-30,108,
2006-05-31,108,
2006-06-01,108,
2006-06-02,108,
2006-06-03,108,
2006-06-04,108,
2006-06-05,108,
2006-06-06,108,
2006-06-07,108,
2006-06-08,108,6.5
2006-06-09,108,0.5
2006-06-10,108,39.5
2006-06-11,108,2.5
2006-06-12,108,
2006-06-13,108,
2006-06-14,108,63
2006-06-15,108,2
2006-06-16,108,
2006-06-17,108,0
2006-06-18,108,
2006-06-19,108,
2006-06-20,108,
2006-06-21,108,14
2006-06-22,108,
2006-06-23,108,
2006-06-24,108,
2006-06-25,108,8
2006-06-26,108,11.5
2006-06-27,108,1
2006-06-28,108,
2006-06-29,108,13.5
2006-06-30,108,6.5
2006-07-01,108,4.5
2006-07-02,108,0
2006-07-03,108,
2006-07-04,108,4
2006-07-05,108,2.5
2006-07-06,108,13
2006-07-07,108,10
2006-07-08,108,
2006-07-09,108,3.5
2006-07-10,108,19
2006-07-11,108,0.5
2006-07-12,108,226.5
2006-07-13,108,18.5
2006-07-14,108,0.1
2006-07-15,108,69
2006-07-16,108,241
2006-07-17,108,42.5
2006-07-18,108,31
2006-07-19,108,0.5
2006-07-20,108,4.5
2006-07-21,108,3.5
2006-07-22,108,9.5
2006-07-23,108,
2006-07-24,108,
2006-07-25,108,0.3
2006-07-26,108,5
2006-07-27,108,195
2006-07-28,108,88
2006-07-29,108,22
2006-07-30,108,0.1
2006-07-31,108,
2006-08-01,108,
2006-08-02,108,
2006-08-03,108,
2006-08-04,108,
2006-08-05,108,0.1
2006-08-06,108,
2006-08-07,108,22
2006-08-08,108,
2006-08-09,108,
2006-08-10,108,
2006-08-11,108,0
2006-08-12,108,
2006-08-13,108,
2006-08-14,108,
2006-08-15,108,20.5
2006-08-16,108,0.5
2006-08-17,108,10.5
2006-08-18,108,
2006-08-19,108,0.1
2006-08-20,108,0
2006-08-21,108,
2006-08-22,108,0
2006-08-23,108,0
2006-08-24,108,0
2006-08-25,108,14.5
2006-08-26,108,32
2006-08-27,108,18.5
2006-08-28,108,
2006-08-29,108,2.5
2006-08-30,108,
2006-08-31,108,
2006-09-01,108,
2006-09-02,108,
2006-09-03,108,
2006-09-04,108,
2006-09-05,108,0.1
2006-09-06,108,3.5
2006-09-07,108,
2006-09-08,108,0
2006-09-09,108,4.5
2006-09-10,108,
2006-09-11,108,
2006-09-12,108,
2006-09-13,108,
2006-09-14,108,
2006-09-15,108,
2006-09-16,108,
2006-09-17,108,2
2006-09-18,108,0.5
2006-09-19,108,
2006-09-20,108,
2006-09-21,108,
2006-09-22,108,
2006-09-23,108,
2006-09-24,108,
2006-09-25,108,
2006-09-26,108,
2006-09-27,108,0
2006-09-28,108,0.5
2006-09-29,108,0
2006-09-30,108,
2006-10-01,108,
2006-10-02,108,
2006-10-03,108,
2006-10-04,108,
2006-10-05,108,
2006-10-06,108,
2006-10-07,108,
2006-10-08,108,
2006-10-09,108,
2006-10-10,108,
2006-10-11,108,0
2006-10-12,108,
2006-10-13,108,
2006-10-14,108,
2006-10-15,108,
2006-10-16,108,
2006-10-17,108,
2006-10-18,108,0.2
2006-10-19,108,
2006-10-20,108,0.5
2006-10-21,108,
2006-10-22,108,21.5
2006-10-23,108,8
2006-10-24,108,
2006-10-25,108,
2006-10-26,108,
2006-10-27,108,
2006-10-28,108,
2006-10-29,108,
2006-10-30,108,
2006-10-31,108,
2006-11-01,108,
2006-11-02,108,
2006-11-03,108,1.5
2006-11-04,108,
2006-11-05,108,7
2006-11-06,108,17
2006-11-07,108,
2006-11-08,108,0
2006-11-09,108,2.5
2006-11-10,108,
2006-11-11,108,
2006-11-12,108,
2006-11-13,108,3
2006-11-14,108,0
2006-11-15,108,3.5
2006-11-16,108,
2006-11-17,108,
2006-11-18,108,
2006-11-19,108,
2006-11-20,108,
2006-11-21,108,0.1
2006-11-22,108,
2006-11-23,108,
2006-11-24,108,
2006-11-25,108,
2006-11-26,108,
2006-11-27,108,12
2006-11-28,108,0.5
2006-11-29,108,
2006-11-30,108,0.5
2006-12-01,108,0.3
2006-12-02,108,
2006-12-03,108,
2006-12-04,108,
2006-12-05,108,
2006-12-06,108,
2006-12-07,108,1
2006-12-08,108,2.5
2006-12-09,108,2.5
2006-12-10,108,
2006-12-11,108,
2006-12-12,108,
2006-12-13,108,
2006-12-14,108,
2006-12-15,108,2.5
2006-12-16,108,3
2006-12-17,108,5.5
2006-12-18,108,
2006-12-19,108,
2006-12-20,108,
2006-12-21,108,
2006-12-22,108,0
2006-12-23,108,
2006-12-24,108,
2006-12-25,108,
2006-12-26,108,
2006-12-27,108,
2006-12-28,108,
2006-12-29,108,
2006-12-30,108,
2006-12-31,108,
2007-01-01,108,0.2
2007-01-02,108,0.5
2007-01-03,108,
2007-01-04,108,
2007-01-05,108,
2007-01-06,108,9
2007-01-07,108,
2007-01-08,108,
2007-01-09,108,
2007-01-10,108,
2007-01-11,108,
2007-01-12,108,
2007-01-13,108,
2007-01-14,108,
2007-01-15,108,
2007-01-16,108,
2007-01-17,108,
2007-01-18,108,0
2007-01-19,108,
2007-01-20,108,
2007-01-21,108,
2007-01-22,108,
2007-01-23,108,
2007-01-24,108,
2007-01-25,108,
2007-01-26,108,0.1
2007-01-27,108,
2007-01-28,108,
2007-01-29,108,
2007-01-30,108,1
2007-01-31,108,
2007-02-01,108,
2007-02-02,108,
2007-02-03,108,
2007-02-04,108,
2007-02-05,108,
2007-02-06,108,
2007-02-07,108,
2007-02-08,108,1
2007-02-09,108,0
2007-02-10,108,0
2007-02-11,108,
2007-02-12,108,
2007-02-13,108,11.5
2007-02-14,108,0.1
2007-02-15,108,
2007-02-16,108,
2007-02-17,108,
2007-02-18,108,
2007-02-19,108,
2007-02-20,108,
2007-02-21,108,
2007-02-22,108,0
2007-02-23,108,0
2007-02-24,108,
2007-02-25,108,
2007-02-26,108,
2007-02-27,108,
2007-02-28,108,
2007-03-01,108,
2007-03-02,108,22
2007-03-03,108,0.2
2007-03-04,108,34
2007-03-05,108,2
2007-03-06,108,0
2007-03-07,108,0.9
2007-03-08,108,1
2007-03-09,108,
2007-03-10,108,1
2007-03-11,108,
2007-03-12,108,
2007-03-13,108,
2007-03-14,108,
2007-03-15,108,
2007-03-16,108,
2007-03-17,108,
2007-03-18,108,
2007-03-19,108,
2007-03-20,108,
2007-03-21,108,1
2007-03-22,108,
2007-03-23,108,0.4
2007-03-24,108,10.5
2007-03-25,108,
2007-03-26,108,0
2007-03-27,108,0.5
2007-03-28,108,10.5
2007-03-29,108,18
2007-03-30,108,0
2007-03-31,108,21.5
2007-04-01,108,
2007-04-02,108,
2007-04-03,108,0
2007-04-04,108,
2007-04-05,108,
2007-04-06,108,
2007-04-07,108,0
2007-04-08,108,
2007-04-09,108,
2007-04-10,108,0.1
2007-04-11,108,2.5
2007-04-12,108,3.5
2007-04-13,108,5
2007-04-14,108,1.5
2007-04-15,108,1
2007-04-16,108,0
2007-04-17,108,
2007-04-18,108,
2007-04-19,108,
2007-04-20,108,26
2007-04-21,108,1
2007-04-22,108,0.5
2007-04-23,108,
2007-04-24,108,
2007-04-25,108,
2007-04-26,108,
2007-04-27,108,
2007-04-28,108,
2007-04-29,108,
2007-04-30,108,0
2007-05-01,108,2.5
2007-05-02,108,
2007-05-03,108,0
2007-05-04,108,
2007-05-05,108,
2007-05-06,108,
2007-05-07,108,
2007-05-08,108,
2007-05-09,108,5.5
2007-05-10,108,
2007-05-11,108,
2007-05-12,108,20
2007-05-13,108,
2007-05-14,108,0.1
2007-05-15,108,
2007-05-16,108,42
2007-05-17,108,4.5
2007-05-18,108,13
2007-05-19,108,0
2007-05-20,108,
2007-05-21,108,
2007-05-22,108,
2007-05-23,108,0
2007-05-24,108,49
2007-05-25,108,1
2007-05-26,108,
2007-05-27,108,
2007-05-28,108,
2007-05-29,108,0
2007-05-30,108,
2007-05-31,108,
2007-06-01,108,
2007-06-02,108,
2007-06-03,108,
2007-06-04,108,
2007-06-05,108,
2007-06-06,108,0.1
2007-06-07,108,0.1
2007-06-08,108,0.5
2007-06-09,108,
2007-06-10,108,
2007-06-11,108,
2007-06-12,108,
2007-06-13,108,0
2007-06-14,108,0.5
2007-06-15,108,
